,SparNord,Merkur Andelskasse,Lån & Spar Bank,Arbejdernes Landsbank,Lunar,Basisbank,Coop
Hjemmeside,,,,,,,
Fordelskunde,"Stjernekunde kræver nemkonto, netbankaftale og betalingskort. Desuden frie midler for 100.000 som indlån eller investering eller lån for mere end 100.000",Andelshaver med mindst tre beviser (1755 DKK pr. andel),"Medlem af faglig organisation, fx Forbrugsforeningen (200 DKK / årligt)",,,,
Særligt,,Bæredygtig profil,3% på første 50.000 DKK,,,"0,10% i rente",
Overførsel,2 DKK,2 DKK,2 DKK,0 DKK,0 DKK,0 DKK,0 DKK
Betaling af girokort,2 DKK,2 DKK,2 DKK,0 DKK,0 DKK,0 DKK, 0DKK
Betalingsservice,0 DKK,0 DKK,0 DKK,0 DKK,0 DKK,0 DKK, 0DKK
Kort,Visa/Dankort,Visa/Dankort,Visa/Dankort,Visa/Dankort,Visa/Dankort,Visa/Dankort,Visa/Dankort
Kortgebyr,0,175,0,0,0,0,0
Lønkonto,0,Lønkonto 0 DKK,LSB Løn 0 DKK,Lønkonto 0 DKK,0 DKK,Lønkonto 0 DKK,0 DKK
Fælles budgetkonto,0,Budgetkonto 0 DKK,LSB Budget 0 DKK,Budget 0 DKK,Ikke muligt,Budgetkonto 0 DKK, 0DKK
Børnekonti,0,0,0,0,Ikke muligt,Ikke muligt,
Børneopsparing,0,0,0,0,Ikke muligt,Ikke muligt,
Depotgebyr,Ja,Ja,Ja,Ja,Ikke muligt,Ja,
Kurtage,Mindst 29 DKK,Mindst 50 DKK,Mindst 29 DKK,Mindst 29 DKK,19 DKK,Mindst 50 DKK,Mindst 29 DKK
Udlandsoverførsel (SEPA EU),Gratis SEPA,50 DKK,Gratis SEPA,Gratis SEPA,Gratis SEPA,Gratis SEPA
Netbank,0,0,0,0,0,0
