ticker,name,morningstar_url,type,content,aaop,index,dividend,tax,tax_principle,strategy,morningstar_rating,sustainability_rating,nordnet_maanedsopsparing
EUNH,BlackRock iShares Core € Govt Bond UCITS ETF EUR (Dist),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000MEI4,ETF,,"0,20%",,Distribuerende,Aktie,,Passiv,4,,Ja
IS3N,BlackRock iShares Core MSCI EM IMI UCITS ETF USD (Acc) (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P00013BGM,ETF,2760,"0,18%",MSCI Emerging IMI,Akkumulerende,Aktie,,Passiv,3,2,Ja
IBC3,BlackRock iShares Core MSCI EM IMI UCITS ETF USD (Dist) (EUR),https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001D2CG,ETF,2760,"0,18%",MSCI Emerging IMI,,,,,0,2,
EUNL,BlackRock iShares Core MSCI World UCITS ETF USD (Acc) (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000MEHZ,ETF,1710,"0,20%",MSCI World,Akkumulerende,Aktie,Lager,Passiv,5,3,Ja
SXR8,BlackRock iShares Core S&P 500 UCITS ETF USD (Acc) (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000OO21,ETF,511,"0,07%",S&P500,Akkumulerende,Aktie,Lager,Passiv,5,3,Ja
IUSA,BlackRock iShares Core S&P 500 UCITS ETF USD (Dist),https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000IWFP,ETF,511,"0,07%",S&P500,,,,,5,3,
IQQH,BlackRock iShares Global Clean Energy UCITS ETF USD (Dist) (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000I4PL,ETF,,"0,65%",,,,Lager,Passiv,4,3,
IUSQ,BlackRock iShares MSCI ACWI UCITS ETF USD (Acc) (EUR),https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000X4V9,ETF,1553,"0,60%",MSCI ACWI,Akkumulerende,Aktie,Lager,Passiv,4,2,
IUSN,BlackRock iShares MSCI World Small Cap UCITS ETF USD (Acc),https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001D6Z2,ETF,3249,"0,35%",MSCI World Small,Akkumulerende,Aktie,Lager,Passiv,0,2,
IQQW,BlackRock iShares MSCI World UCITS ETF USD (Dist),https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000IWFQ,ETF,1710,"0,50%",MSCI World,,,,,4,3,
DK0010207141,Danske Invest Fjernøsten Indeks KL,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0GBR04L68,Investeringsforening,>740,"0,61%",MSCI AC Asia ex Japan Index,Distribuerende,,Realisation,Passiv,3,3,
DKIGIADKKH,Danske Invest Global Indeks Akk KL,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0GBR04EPX,Investeringsforening,>1.570,"0,44%",MSCI World,Akkumulerende,,Lager,Passiv,,4,
DKIGI,Danske Invest Global Indeks KL,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0GBR04L68,Investeringsforening,>1.570,"0,44%",MSCI World,Distribuerende,,Realisation,Passiv,4,3,
LU0348926287,Nordea 1 - Global Climate and Environment Fund BP EUR,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F000001AKN,Investeringsforening,,"1,82%",,,,,Aktiv,4,5,
NDIGAI,Nordea Invest Globale Aktier Indeks,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000P780,Investeringsforening,1531,"0,58%",MSCI World,Distribuerende,Aktieindkomst,Realisation,Passiv,4,3,
LU1165135523,Parvest Aqua Classic-Distribution,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000ZHIV,Investeringsforening,,"2,23%",,,,,Aktiv,,4,
LU0406802685,Parvest Climate Impact Classic-Distribution,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0000000RN,Investeringsforening,,"2,68%",,,,,Aktiv,4,5,
SDKINV,SDG Invest DKK,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0000110IR,Investeringsforening,,"1,25%",,,,,Aktiv,,,
SPIDJWKL,Sparinvest INDEX DJSI World KL,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0GBR04IDG,Investeringsforening,195,"0,59%",DJSI,Distribuerende,,Realisation,Passiv,5,4,Ja
SPIEMIKL,Sparinvest INDEX Emerging Markets KL,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000MES0,Investeringsforening,378,"0,65%",MSCI Emerging,Distribuerende,,Realisation,Passiv,4,3,Ja
SPIGLAMRIK,Sparinvest INDEX Globale Akt Min Risiko KL,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000073J,Investeringsforening,314,"0,59%",MSCI World Minimum Volatility,Distribuerende,,Realisation,Passiv,5,4,Ja
SPVIGAETIK,Sparinvest INDEX Globale Aktier – Etik KL,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000XLK7,Investeringsforening,,"0,59%",,Distribuerende,Aktieindkomst,Realisation,Passiv,,3,
SPVIBGKL,Sparindex INDEX Bæredygtige Global KL,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000XLK7,Investeringsforening,,"0,55%",MSCI ACWI ESG Leaders Select Sustainability,Distribuerende,Aktieindkomst,Realisation,Passiv,3,,
